ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
211696_x_at	7.12E-11	3.20E-15	-10.727658	23.89413	-4.86384	HBB	hemoglobin subunit beta
217232_x_at	7.06E-10	6.34E-14	-9.897388	21.11369	-4.8498839	HBB	hemoglobin subunit beta
217414_x_at	9.30E-10	1.25E-13	-9.711235	20.47807	-5.9508822	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
204848_x_at	2.42E-09	4.34E-13	-9.373387	19.31388	-4.0051423	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
206555_s_at	1.62E-08	3.63E-12	8.802697	17.31887	2.6306446	THUMPD1	THUMP domain containing 1
211745_x_at	1.95E-08	5.24E-12	-8.705151	16.97464	-4.1369174	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
207030_s_at	3.31E-08	1.04E-11	-8.522877	16.32914	-2.1326899	CSRP2	cysteine and glycine rich protein 2
212730_at	3.40E-08	1.22E-11	-8.480121	16.17733	-1.3712341	SYNM	synemin
208113_x_at	4.08E-08	1.65E-11	8.400927	15.89574	1.6311471	PABPC3	poly(A) binding protein cytoplasmic 3
212741_at	7.44E-08	3.48E-11	-8.203165	15.19051	-2.7825292	MAOA	monoamine oxidase A
212322_at	7.44E-08	3.67E-11	8.189066	15.14012	1.341654	SGPL1	sphingosine-1-phosphate lyase 1
214414_x_at	7.56E-08	4.07E-11	-8.161865	15.04289	-4.7388265	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
213515_x_at	1.03E-07	6.02E-11	-8.058631	14.6734	-2.4764643	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
204005_s_at	1.30E-07	8.14E-11	7.978921	14.38768	2.1780227	PAWR	pro-apoptotic WT1 regulator
209458_x_at	1.57E-07	1.06E-10	-7.909567	14.13878	-3.7361839	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
200704_at	2.00E-07	1.44E-10	-7.829846	13.85238	-1.4223095	LITAF	lipopolysaccharide induced TNF factor
204419_x_at	2.63E-07	2.03E-10	-7.738933	13.5254	-3.2680897	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
209116_x_at	2.63E-07	2.12E-10	-7.727138	13.48295	-5.9973997	HBB	hemoglobin subunit beta
204424_s_at	3.72E-07	3.19E-10	-7.620087	13.09744	-2.5106205	LMO3	LIM domain only 3
218496_at	3.72E-07	3.34E-10	7.608174	13.05451	2.4947246	RNASEH1	ribonuclease H1
206519_x_at	6.59E-07	6.21E-10	-7.445087	12.46643	-2.1265591	SIGLEC6	sialic acid binding Ig like lectin 6
201061_s_at	7.67E-07	7.58E-10	-7.393135	12.27895	-1.5232176	STOM	stomatin
202620_s_at	9.29E-07	9.58E-10	7.331455	12.0563	2.6374285	PLOD2	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
212126_at	1.48E-06	1.59E-09	7.198175	11.57503	1.9255907	CBX5	chromobox 5
212007_at	1.66E-06	1.87E-09	7.156328	11.42389	2.5514984	UBXN4	UBX domain protein 4
208895_s_at	1.66E-06	1.94E-09	7.146564	11.38862	1.3448258	DDX18	DEAD-box helicase 18
219530_at	1.73E-06	2.10E-09	7.125813	11.31368	2.0658905	PALB2	partner and localizer of BRCA2
215823_x_at	1.78E-06	2.24E-09	7.109295	11.25402	1.6706571	RLIM///PABPC1	"ring finger protein, LIM domain interacting///poly(A) binding protein cytoplasmic 1"
203549_s_at	1.86E-06	2.49E-09	-7.08134	11.15305	-2.7255107	LPL	lipoprotein lipase
214370_at	1.86E-06	2.50E-09	-7.079926	11.14795	-3.9691463	S100A8	S100 calcium binding protein A8
211699_x_at	2.35E-06	3.27E-09	-7.009654	10.89417	-4.6933679	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
221829_s_at	2.37E-06	3.41E-09	6.998668	10.8545	2.1408851	TNPO1	transportin 1
210824_at	2.54E-06	3.77E-09	-6.972526	10.7601	-2.2640123		
205051_s_at	2.96E-06	4.52E-09	-6.924491	10.58668	-2.6064636	KIT	KIT proto-oncogene receptor tyrosine kinase
217074_at	2.99E-06	4.76E-09	-6.910843	10.53741	-2.6808436	SMOX	spermine oxidase
203296_s_at	2.99E-06	5.01E-09	-6.897427	10.48899	-2.593963	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2
203824_at	2.99E-06	5.12E-09	-6.892142	10.46991	-1.984759	TSPAN8	tetraspanin 8
203548_s_at	2.99E-06	5.28E-09	-6.884021	10.4406	-4.1574019	LPL	lipoprotein lipase
203373_at	2.99E-06	5.32E-09	-6.881891	10.43291	-1.5766415	SOCS2	suppressor of cytokine signaling 2
201268_at	2.99E-06	5.37E-09	6.879682	10.42494	1.5320136	NME1-NME2///NME2	NME1-NME2 readthrough///NME/NM23 nucleoside diphosphate kinase 2
204018_x_at	3.37E-06	6.21E-09	-6.841491	10.28712	-4.1775833	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
AFFX-HUMGAPDH/M33197_3_at	3.63E-06	6.84E-09	6.815786	10.19438	1.4959488	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
200890_s_at	3.70E-06	7.13E-09	6.804939	10.15525	1.5422412	SSR1	signal sequence receptor subunit 1
219563_at	3.80E-06	7.50E-09	-6.791565	10.107	-2.0141661	SYNE3///LINC00341	spectrin repeat containing nuclear envelope family member 3///long intergenic non-protein coding RNA 341
203802_x_at	3.98E-06	8.07E-09	6.772386	10.03783	2.6507503	NSUN5	NOP2/Sun RNA methyltransferase family member 5
213029_at	3.98E-06	8.22E-09	-6.767584	10.02052	-1.3617688	NFIB	nuclear factor I B
219065_s_at	4.40E-06	9.29E-09	6.735513	9.90487	1.6381499	DPY30///MEMO1	"dpy-30, histone methyltransferase complex regulatory subunit///mediator of cell motility 1"
201615_x_at	4.42E-06	9.53E-09	6.728905	9.88105	2.67358	CALD1	caldesmon 1
35436_at	4.48E-06	9.93E-09	6.718035	9.84187	1.9548991	GOLGA2	golgin A2
205624_at	4.48E-06	1.01E-08	-6.714655	9.82969	-2.1290126	CPA3	carboxypeptidase A3
221557_s_at	4.78E-06	1.09E-08	-6.692704	9.75057	-2.4844117	LEF1	lymphoid enhancer binding factor 1
202784_s_at	4.94E-06	1.15E-08	6.678742	9.70026	2.2845537	NNT	nicotinamide nucleotide transhydrogenase
204689_at	5.28E-06	1.26E-08	-6.656303	9.61942	-1.0008096	HHEX	hematopoietically expressed homeobox
200911_s_at	5.31E-06	1.29E-08	-6.649692	9.5956	-1.2477824	TACC1	transforming acidic coiled-coil containing protein 1
212160_at	6.53E-06	1.61E-08	6.590483	9.38241	1.4506926	XPOT	exportin for tRNA
208664_s_at	6.71E-06	1.69E-08	6.578691	9.33997	2.1672511	TTC3P1///TTC3	tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3
208661_s_at	6.77E-06	1.73E-08	6.571675	9.31472	2.2708129	TTC3P1///TTC3	tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3
201060_x_at	6.86E-06	1.79E-08	-6.563507	9.28533	-1.2638141	STOM	stomatin
208787_at	7.24E-06	1.96E-08	6.538768	9.19633	1.2412353	MRPL3	mitochondrial ribosomal protein L3
208510_s_at	7.24E-06	1.97E-08	-6.537236	9.19082	-2.8268889	PPARG	peroxisome proliferator activated receptor gamma
200914_x_at	7.24E-06	1.98E-08	6.536162	9.18696	2.0362884	KTN1	kinectin 1
206834_at	8.80E-06	2.45E-08	-6.48027	8.98601	-2.4652127	HBD	hemoglobin subunit delta
212417_at	1.12E-05	3.16E-08	6.413394	8.74582	2.5467691	SCAMP1	secretory carrier membrane protein 1
209900_s_at	1.12E-05	3.21E-08	6.408866	8.72957	2.2272174	SLC16A1	solute carrier family 16 member 1
202102_s_at	1.18E-05	3.47E-08	6.388583	8.65678	1.699787	BRD4	bromodomain containing 4
213101_s_at	1.18E-05	3.49E-08	6.386659	8.64988	1.1192646	ACTR3	ARP3 actin related protein 3 homolog
209225_x_at	1.18E-05	3.54E-08	6.382845	8.63619	1.422822	TNPO1	transportin 1
209616_s_at	1.18E-05	3.59E-08	-6.379518	8.62426	-3.0306199	LOC100653057///CES1	liver carboxylesterase 1-like///carboxylesterase 1
212776_s_at	1.32E-05	4.10E-08	6.344267	8.49784	2.4283234	OBSL1	obscurin like 1
209559_at	1.34E-05	4.20E-08	-6.337887	8.47497	-1.7503877	HIP1R	huntingtin interacting protein 1 related
204151_x_at	1.38E-05	4.43E-08	-6.32352	8.42348	-2.058769	AKR1C1	aldo-keto reductase family 1 member C1
208859_s_at	1.38E-05	4.51E-08	6.319279	8.40828	2.7626584	ATRX	"ATRX, chromatin remodeler"
201052_s_at	1.38E-05	4.52E-08	6.318339	8.40491	1.7028905	PSMF1	proteasome inhibitor subunit 1
221806_s_at	1.38E-05	4.59E-08	6.314481	8.39109	2.2427998	SETD5	SET domain containing 5
214135_at	1.55E-05	5.22E-08	-6.280271	8.26857	-2.8678812	CLDN18	claudin 18
214155_s_at	1.58E-05	5.39E-08	6.272058	8.23917	2.0251105	LARP4	La ribonucleoprotein domain family member 4
212027_at	1.59E-05	5.50E-08	6.266454	8.21911	2.1952462	RBM25	RNA binding motif protein 25
204975_at	1.74E-05	6.17E-08	-6.235903	8.10981	-1.5430358	EMP2	epithelial membrane protein 2
218816_at	1.74E-05	6.18E-08	6.235666	8.10896	2.9087134	LRRC1	leucine rich repeat containing 1
210949_s_at	1.77E-05	6.37E-08	6.22783	8.08094	0.9891759	EIF3CL///EIF3C	eukaryotic translation initiation factor 3 subunit C-like///eukaryotic translation initiation factor 3 subunit C
212251_at	2.01E-05	7.31E-08	6.191065	7.94953	1.5356947	MTDH	metadherin
201222_s_at	2.16E-05	7.95E-08	6.168923	7.87044	1.4757984	RAD23B	"RAD23 homolog B, nucleotide excision repair protein"
