Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-2219530,"Constitutive Signaling by Aberrant PI3K in Cancer",19,96,0.006322861094645327,3.3072545886803084E-5,0.02105153540346416,1,2,1.4206563432305724E-4,9606,Homo sapiens,"KL;ERBB4;KIT;TGFA;PIK3R3;GAB2;FGFR4;FGFR3;ESR1;FGFR2;HBEGF","","R-HSA-2400009"
R-HSA-140877,"Formation of Fibrin Clot (Clotting Cascade)",12,43,0.002832114865309886,4.043961194832857E-5,0.02105153540346416,29,61,0.004333001846853246,9606,Homo sapiens,"THBD;F8;SERPINA1;VWF;F11;FGG;SMYD2;A2M;TFPI;F3;PF4V1;PF4","","R-HSA-140736;R-HSA-158145;R-HSA-158278;R-HSA-158340;R-HSA-140748;R-HSA-5607002;R-HSA-158419;R-HSA-140823;R-HSA-5607043;R-HSA-158164;R-HSA-140696;R-HSA-140825;R-HSA-140761;R-HSA-158300;R-HSA-158118;R-HSA-140842;R-HSA-158251;R-HSA-140840;R-HSA-9661625;R-HSA-140777;R-HSA-9670014;R-HSA-140783;R-HSA-140851;R-HSA-141040;R-HSA-141046;R-HSA-140599;R-HSA-158137;R-HSA-5591086;R-HSA-158333"
R-HSA-2219528,"PI3K/AKT Signaling in Cancer",22,124,0.008167028913916881,4.160382490803194E-5,0.02105153540346416,3,21,0.0014916891603921011,9606,Homo sapiens,"KL;PIK3R3;TGFA;FOXO4;GAB2;ESR1;FOXO1;CASP9;ERBB4;KIT;FGFR4;FGFR3;FGFR2;HBEGF","","R-HSA-2399985;R-HSA-2399992;R-HSA-2400009"
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",22,129,0.008496344595929657,7.322722259350822E-5,0.027753117362939617,3,7,4.972297201307004E-4,9606,Homo sapiens,"IL33;KL;PIK3R3;TGFA;PPP2R5A;GAB2;ESR1;ERBB4;KIT;PIP5K1B;FGFR4;FGFR3;FGFR2;HBEGF","","R-HSA-2316434;R-HSA-8857925;R-HSA-1676082"
R-HSA-199418,"Negative regulation of the PI3K/AKT network",22,137,0.009023249687150101,1.6917990604603528E-4,0.05126151153194869,3,10,7.103281716152863E-4,9606,Homo sapiens,"IL33;KL;PIK3R3;TGFA;PPP2R5A;GAB2;ESR1;ERBB4;KIT;PIP5K1B;FGFR4;FGFR3;FGFR2;HBEGF","","R-HSA-2316434;R-HSA-8857925;R-HSA-1676082"
R-HSA-6783783,"Interleukin-10 signaling",16,86,0.005664229730619772,2.6484499572687614E-4,0.06700578391889966,4,15,0.0010654922574229295,9606,Homo sapiens,"CSF3;IL6;CXCL8;FPR1;PTGS2;CXCL3;CXCL2;CX3CL1;ICAM1","","R-HSA-8937656;R-HSA-6784160;R-HSA-6790029;R-HSA-8937654"
R-HSA-9619665,"EGR2 and SOX10-mediated initiation of Schwann cell myelination",10,39,0.002568662319699664,3.3631406657586016E-4,0.0726438383803858,14,26,0.0018468532461997443,9606,Homo sapiens,"ADGRV1;LAMA2;SCD5;PRX;PMP22;SREBF2","","R-HSA-9619666;R-HSA-9619667;R-HSA-9621399;R-HSA-9619668;R-HSA-9619669;R-HSA-9614778;R-HSA-9621400;R-HSA-9621406;R-HSA-9618559;R-HSA-9621404;R-HSA-9621410;R-HSA-9621411;R-HSA-9615626;R-HSA-9619657"
R-HSA-6798695,"Neutrophil degranulation",52,480,0.031614305473226634,4.4829324956563443E-4,0.08472742416790491,10,10,7.103281716152863E-4,9606,Homo sapiens,"FCN1;SERPINA3;CXCL8;SERPINA1;DDX3X;GMFG;HBB;CXCL3;CXCL2;LGALS3;ADGRE5;ADGRE3;LAMP3;CD36;B2M;CAMP;CD93;ARG1;PRKCD;RHOF;EEF1A1;CEACAM1;CEACAM6;CAT;PECAM1;PKP1;CEACAM8;DNASE1L3;S100A9;S100A8;CFD;TMEM63A;FPR1;FPR2;CFP;LILRA3;AGPAT2;PLAC8;CYB5R3;CXCR1;CXCR2;SMYD2;S100A12;STOM;CD59;METTL7A;MGAM;TF;VNN2;DLC1;S100P;MNDA","","R-HSA-6798743;R-HSA-6799350;R-HSA-6798739;R-HSA-6800434;R-HSA-6798751;R-HSA-6798749;R-HSA-6798748;R-HSA-6798747;R-HSA-6800426;R-HSA-6798745"
R-HSA-380108,"Chemokine receptors bind chemokines",12,57,0.003754198774945663,5.212127103212394E-4,0.08756373533396822,4,19,0.001349623526069044,9606,Homo sapiens,"CXCL8;CXCR1;CXCR2;CXCL3;CXCL2;CXCL5;CX3CL1;PF4","","R-HSA-373813;R-HSA-443986;R-HSA-373791;R-HSA-373342"
R-HSA-383280,"Nuclear Receptor transcription pathway",15,86,0.005664229730619772,7.764651481253493E-4,0.11724623736692774,2,2,1.4206563432305724E-4,9606,Homo sapiens,"RXRA;NR6A1;NR5A2;NR4A3;PPARG;ESR1;NR0B2;SF1","","R-HSA-382096;R-HSA-376419"
