Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1474290,"Collagen formation",21,104,0.006849766185865771,1.0488496845484363E-5,0.012078346144057672,52,77,0.0054695269214377045,9606,Homo sapiens,"ITGB4;COL11A1;PLOD2;LOXL1;COL1A1;COL3A1;ADAMTS3;BMP1;COL1A2;LOX;P4HA1;COL5A1;COL5A2;COL6A1;SERPINH1;COL10A1;P4HB;PPIB;CTSB","","R-HSA-8948232;R-HSA-2395302;R-HSA-8948234;R-HSA-2002460;R-HSA-8944266;R-HSA-8948224;R-HSA-8948226;R-HSA-8948228;R-HSA-8944261;R-HSA-8948230;R-HSA-8944262;R-HSA-8948231;R-HSA-2002440;R-HSA-2395314;R-HSA-2395324;R-HSA-2214330;R-HSA-2395322;R-HSA-2250301;R-HSA-2022073;R-HSA-1981104;R-HSA-2002466;R-HSA-2299620;R-HSA-1474266;R-HSA-1981128;R-HSA-1980233;R-HSA-8944223;R-HSA-2395257;R-HSA-1981120;R-HSA-8944214;R-HSA-1650808;R-HSA-2002428;R-HSA-2022141;R-HSA-1614460;R-HSA-1614461;R-HSA-2395340;R-HSA-2213192;R-HSA-2089971;R-HSA-2396234;R-HSA-2213201;R-HSA-2213200;R-HSA-2395223;R-HSA-8948219;R-HSA-2243926;R-HSA-2213205;R-HSA-2152276;R-HSA-8948222;R-HSA-2213207;R-HSA-8944240;R-HSA-2243931;R-HSA-2213208;R-HSA-1981157;R-HSA-8944247"
R-HSA-69278,"Cell Cycle, Mitotic",68,596,0.03925442929592307,1.5485059159048298E-5,0.012078346144057672,168,352,0.025003551640858077,9606,Homo sapiens,"TOP2A;CEP57;ANKLE2;NUMA1;MCM7;GMNN;BUB1B;SMC3;SMC4;SMC2;NIPBL;XPO1;KNTC1;NEK2;SKP2;TNPO1;NINL;CEP290;RAB2A;CEP135;PPP1R12A;CSNK2A1;RFC2;TUBB;H2AFX;KIF23;TUBG1;MAU2;PSME3;BIRC5;MCM4;ANAPC5;HIST1H2BH;MCM5;CEP63;KIF20A;TP53;HIST1H2BD;KPNB1;MCM2;PRIM2;RPN2;PSMD14;HMMR;SPAST;PSMB3;RAD21;TMEM208;E2F3;BUB3;BUB1;RRM2;UBE2I;DHFR;STAG1;CENPF;CDK7;CDK4;UBE2S;PSMC4;FGFR1OP;NCAPD3","","R-HSA-156673;R-HSA-375302;R-HSA-8852354;R-HSA-69127;R-HSA-174088;R-HSA-2294574;R-HSA-2545203;R-HSA-2520883;R-HSA-69140;R-HSA-2294580;R-HSA-69142;R-HSA-69144;R-HSA-8853405;R-HSA-174104;R-HSA-174105;R-HSA-188191;R-HSA-2294590;R-HSA-69152;R-HSA-380455;R-HSA-187937;R-HSA-174119;R-HSA-2172678;R-HSA-9018017;R-HSA-9686969;R-HSA-174120;R-HSA-174121;R-HSA-8853419;R-HSA-176942;R-HSA-75820;R-HSA-187949;R-HSA-75822;R-HSA-75825;R-HSA-68913;R-HSA-2466068;R-HSA-156723;R-HSA-2470935;R-HSA-2429719;R-HSA-68914;R-HSA-68917;R-HSA-68916;R-HSA-187959;R-HSA-68919;R-HSA-2301205;R-HSA-174132;R-HSA-8961982;R-HSA-68918;R-HSA-174139;R-HSA-8964531;R-HSA-8961972;R-HSA-2245218;R-HSA-182594;R-HSA-174144;R-HSA-2545253;R-HSA-4088441;R-HSA-4088439;R-HSA-9624798;R-HSA-68940;R-HSA-174157;R-HSA-68944;R-HSA-68946;R-HSA-68948;R-HSA-9686980;R-HSA-68950;R-HSA-380508;R-HSA-174171;R-HSA-170072;R-HSA-68954;R-HSA-8942803;R-HSA-170076;R-HSA-68960;R-HSA-9648114;R-HSA-113504;R-HSA-170087;R-HSA-2314566;R-HSA-69227;R-HSA-2294600;R-HSA-141423;R-HSA-174195;R-HSA-2484822;R-HSA-380278;R-HSA-380272;R-HSA-174202;R-HSA-174203;R-HSA-8942836;R-HSA-1226094;R-HSA-1226095;R-HSA-380283;R-HSA-141437;R-HSA-2514854;R-HSA-380294;R-HSA-9754130;R-HSA-8942607;R-HSA-380303;R-HSA-1638803;R-HSA-2995389;R-HSA-2995388;R-HSA-174227;R-HSA-380311;R-HSA-174224;R-HSA-1363328;R-HSA-69015;R-HSA-3002811;R-HSA-1363331;R-HSA-380316;R-HSA-69016;R-HSA-8848414;R-HSA-69019;R-HSA-2473151;R-HSA-2468287;R-HSA-8854044;R-HSA-187545;R-HSA-174238;R-HSA-187552;R-HSA-9668405;R-HSA-2422927;R-HSA-3000449;R-HSA-9668415;R-HSA-174255;R-HSA-8854071;R-HSA-69299;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-9668389;R-HSA-1638821;R-HSA-188350;R-HSA-69053;R-HSA-2288097;R-HSA-2467809;R-HSA-2467811;R-HSA-69063;R-HSA-69068;R-HSA-8941895;R-HSA-8961863;R-HSA-179410;R-HSA-9668419;R-HSA-188371;R-HSA-2529015;R-HSA-3000319;R-HSA-9615937;R-HSA-69074;R-HSA-8941915;R-HSA-2574845;R-HSA-2529020;R-HSA-8961874;R-HSA-3000310;R-HSA-9615945;R-HSA-179417;R-HSA-2172666;R-HSA-2574840;R-HSA-179421;R-HSA-2468293;R-HSA-2468039;R-HSA-9667952;R-HSA-2473152;R-HSA-174058;R-HSA-174057;R-HSA-2468041;R-HSA-2468040;R-HSA-9667965;R-HSA-8964475;R-HSA-174070;R-HSA-8852337;R-HSA-2467794;R-HSA-8852351;R-HSA-174079;R-HSA-69116;R-HSA-169468"
R-HSA-1640170,"Cell Cycle",79,734,0.04834354211947573,2.3801344133045355E-5,0.012376698949183584,238,451,0.03203580053984941,9606,Homo sapiens,"TOP2A;CEP57;ANKLE2;NUMA1;MCM7;PHF20;GMNN;BUB1B;SMC3;SMC4;SMC2;NIPBL;XPO1;KNTC1;NEK2;NBN;TOPBP1;SKP2;TNPO1;NINL;CEP290;RAB2A;DAXX;CEP135;PPP1R12A;CSNK2A1;RFC2;TUBB;H2AFX;ATRX;KIF23;TUBG1;TERF1;MAU2;PSME3;BIRC5;MCM4;ANAPC5;HIST1H2BH;MCM5;CEP63;KIF20A;TP53;HIST1H2BD;KPNB1;MCM2;PRIM2;RPN2;PSMD14;HMMR;BRCC3;SPAST;PSMB3;RAD21;TMEM208;E2F3;BUB3;TP53BP1;BUB1;RRM2;UBE2I;REC8;DHFR;STAG1;RAD50;CENPF;CDK7;CDK4;UBE2S;PSMC4;FGFR1OP;NCAPD3;ATR","","R-HSA-156673;R-HSA-375302;R-HSA-69127;R-HSA-912389;R-HSA-174088;R-HSA-2545203;R-HSA-912408;R-HSA-69140;R-HSA-69142;R-HSA-69144;R-HSA-174104;R-HSA-174105;R-HSA-912429;R-HSA-69152;R-HSA-380455;R-HSA-187937;R-HSA-174119;R-HSA-9018017;R-HSA-174120;R-HSA-174121;R-HSA-75820;R-HSA-187949;R-HSA-75822;R-HSA-75825;R-HSA-156723;R-HSA-2470935;R-HSA-69685;R-HSA-187959;R-HSA-174132;R-HSA-174139;R-HSA-176702;R-HSA-176700;R-HSA-2245218;R-HSA-5683735;R-HSA-174144;R-HSA-2545253;R-HSA-606287;R-HSA-912458;R-HSA-4088441;R-HSA-4088439;R-HSA-9624798;R-HSA-912450;R-HSA-174157;R-HSA-606289;R-HSA-380508;R-HSA-174171;R-HSA-170072;R-HSA-912470;R-HSA-8942803;R-HSA-912467;R-HSA-170076;R-HSA-141409;R-HSA-170087;R-HSA-69227;R-HSA-141422;R-HSA-141423;R-HSA-174195;R-HSA-2484822;R-HSA-912505;R-HSA-141431;R-HSA-176250;R-HSA-174202;R-HSA-174203;R-HSA-912503;R-HSA-8942836;R-HSA-912496;R-HSA-141439;R-HSA-141437;R-HSA-9754130;R-HSA-8942607;R-HSA-176264;R-HSA-2995389;R-HSA-2995388;R-HSA-174227;R-HSA-174224;R-HSA-9670149;R-HSA-8848414;R-HSA-2473151;R-HSA-8854044;R-HSA-187545;R-HSA-174238;R-HSA-187552;R-HSA-176298;R-HSA-2422927;R-HSA-3000449;R-HSA-174255;R-HSA-8854071;R-HSA-69299;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-176318;R-HSA-181450;R-HSA-179410;R-HSA-2529015;R-HSA-9615937;R-HSA-2529020;R-HSA-9615945;R-HSA-179417;R-HSA-2172666;R-HSA-179421;R-HSA-2468039;R-HSA-2473152;R-HSA-2468041;R-HSA-2468040;R-HSA-264435;R-HSA-1214188;R-HSA-5693609;R-HSA-69891;R-HSA-8852354;R-HSA-164617;R-HSA-2294574;R-HSA-264458;R-HSA-164620;R-HSA-163090;R-HSA-2520883;R-HSA-2294580;R-HSA-163099;R-HSA-8853405;R-HSA-163096;R-HSA-188191;R-HSA-2294590;R-HSA-2172678;R-HSA-9686969;R-HSA-8853419;R-HSA-176942;R-HSA-68913;R-HSA-2466068;R-HSA-163120;R-HSA-2429719;R-HSA-68914;R-HSA-68917;R-HSA-68916;R-HSA-68919;R-HSA-2301205;R-HSA-8961982;R-HSA-68918;R-HSA-8964531;R-HSA-8961972;R-HSA-6803801;R-HSA-182594;R-HSA-9670101;R-HSA-9023941;R-HSA-68940;R-HSA-9023943;R-HSA-68944;R-HSA-68946;R-HSA-68948;R-HSA-9686980;R-HSA-68950;R-HSA-174427;R-HSA-68954;R-HSA-174425;R-HSA-6803719;R-HSA-68960;R-HSA-9648114;R-HSA-113504;R-HSA-174438;R-HSA-174439;R-HSA-2314566;R-HSA-9668597;R-HSA-9686521;R-HSA-174441;R-HSA-2294600;R-HSA-174446;R-HSA-174447;R-HSA-174444;R-HSA-174445;R-HSA-9686524;R-HSA-9670114;R-HSA-174451;R-HSA-174448;R-HSA-380278;R-HSA-380272;R-HSA-174452;R-HSA-174456;R-HSA-1226094;R-HSA-1226095;R-HSA-380283;R-HSA-2514854;R-HSA-380294;R-HSA-6799332;R-HSA-380303;R-HSA-1638803;R-HSA-380311;R-HSA-1363328;R-HSA-69015;R-HSA-3002811;R-HSA-1363331;R-HSA-380316;R-HSA-69016;R-HSA-69019;R-HSA-2468287;R-HSA-9668405;R-HSA-9668415;R-HSA-6793685;R-HSA-9668902;R-HSA-9668389;R-HSA-1638821;R-HSA-188350;R-HSA-69053;R-HSA-9007926;R-HSA-2288097;R-HSA-2467809;R-HSA-2467811;R-HSA-69063;R-HSA-69068;R-HSA-8941895;R-HSA-8961863;R-HSA-9668419;R-HSA-188371;R-HSA-3000319;R-HSA-69074;R-HSA-8941915;R-HSA-2574845;R-HSA-8961874;R-HSA-3000310;R-HSA-6803388;R-HSA-2574840;R-HSA-2468293;R-HSA-5633460;R-HSA-69600;R-HSA-9667952;R-HSA-176101;R-HSA-174058;R-HSA-6804879;R-HSA-6799246;R-HSA-174057;R-HSA-9667965;R-HSA-8964475;R-HSA-174070;R-HSA-176116;R-HSA-8852337;R-HSA-2467794;R-HSA-8852351;R-HSA-174079;R-HSA-69116;R-HSA-169468"
R-HSA-1650814,"Collagen biosynthesis and modifying enzymes",16,76,0.005005598366594218,7.068831283074672E-5,0.02052433213113103,30,51,0.00362267367523796,9606,Homo sapiens,"COL11A1;PLOD2;COL1A1;COL3A1;ADAMTS3;BMP1;COL1A2;P4HA1;COL5A1;COL5A2;COL6A1;SERPINH1;COL10A1;P4HB;PPIB","","R-HSA-8948232;R-HSA-8948234;R-HSA-2002460;R-HSA-8944266;R-HSA-8948224;R-HSA-8948226;R-HSA-8948228;R-HSA-8944261;R-HSA-8948230;R-HSA-8944262;R-HSA-8948231;R-HSA-1981128;R-HSA-2002440;R-HSA-1980233;R-HSA-8944223;R-HSA-1981120;R-HSA-8944214;R-HSA-1650808;R-HSA-2002428;R-HSA-1614460;R-HSA-1614461;R-HSA-2022073;R-HSA-2089971;R-HSA-1981104;R-HSA-8948219;R-HSA-2152276;R-HSA-8948222;R-HSA-8944240;R-HSA-1981157;R-HSA-8944247"
R-HSA-1799339,"SRP-dependent cotranslational protein targeting to membrane",21,119,0.007837713231904103,7.100027916440155E-5,0.02052433213113103,5,5,3.5516408580764315E-4,9606,Homo sapiens,"TRAM1;RPN2;NAB1;SSR2;RPLP0;RPS27L;RPL35A;DDOST;SEC61A1;RPS17;RPS19;SRP72;RPS18;SEC61G;RPL36;SSR1;RPL35;RPL38;RPS10;RPL26L1","","R-HSA-1799326;R-HSA-1799330;R-HSA-1799329;R-HSA-1799335;R-HSA-1799332"
R-HSA-68884,"Mitotic Telophase/Cytokinesis",7,15,9.879470460383323E-4,7.893973896588857E-5,0.02052433213113103,4,4,2.841312686461145E-4,9606,Homo sapiens,"MAU2;NIPBL;STAG1;RAD21;KIF23;KIF20A;SMC3","","R-HSA-156723;R-HSA-2470935;R-HSA-156673;R-HSA-2468040"
R-HSA-2022090,"Assembly of collagen fibrils and other multimeric structures",14,67,0.004412830138971218,2.1067464812274395E-4,0.046168325210666494,22,26,0.0018468532461997443,9606,Homo sapiens,"ITGB4;COL11A1;LOXL1;COL1A1;COL3A1;BMP1;COL1A2;LOX;COL5A1;COL5A2;COL6A1;COL10A1;CTSB","","R-HSA-2395302;R-HSA-2022141;R-HSA-2299620;R-HSA-2395340;R-HSA-2213192;R-HSA-1474266;R-HSA-2396234;R-HSA-2213201;R-HSA-2213200;R-HSA-2395223;R-HSA-2243926;R-HSA-2213205;R-HSA-2395314;R-HSA-2213207;R-HSA-2395324;R-HSA-2243931;R-HSA-2213208;R-HSA-2214330;R-HSA-2002466;R-HSA-2395257;R-HSA-2395322;R-HSA-2250301"
R-HSA-72766,"Translation",41,339,0.02232760324046631,2.3676064210598202E-4,0.046168325210666494,52,99,0.007032248898991334,9606,Homo sapiens,"MRPS15;TRAM1;MRPS16;RPN2;NAB1;RPLP0;RPS27L;TARS;MTIF2;EPRS;MRPL11;SEC61A1;MRPL3;RPS17;RPS19;SRP72;RPS18;SEC61G;RPL36;EIF4EBP1;SSR1;RPL35;RPL38;RPS10;PTCD3;EIF5B;DARS;SSR2;RPL35A;EEF2;MRPL24;DDOST;AIMP2;EIF3M;EEF1A2;GARS;PABPC1;RPL26L1;EIF3B;DAP3","","R-HSA-156930;R-HSA-1799326;R-HSA-5368279;R-HSA-156808;R-HSA-156823;R-HSA-380048;R-HSA-156826;R-HSA-157849;R-HSA-72619;R-HSA-72621;R-HSA-5419261;R-HSA-72622;R-HSA-1799330;R-HSA-1799329;R-HSA-1799335;R-HSA-1799332;R-HSA-5389842;R-HSA-5419281;R-HSA-379974;R-HSA-5389848;R-HSA-5389849;R-HSA-379982;R-HSA-379861;R-HSA-5419264;R-HSA-5419271;R-HSA-380240;R-HSA-5419273;R-HSA-379865;R-HSA-379993;R-HSA-5419279;R-HSA-5389839;R-HSA-72671;R-HSA-379867;R-HSA-5419277;R-HSA-379994;R-HSA-72673;R-HSA-72672;R-HSA-72676;R-HSA-141671;R-HSA-380002;R-HSA-156907;R-HSA-141673;R-HSA-380008;R-HSA-156909;R-HSA-379893;R-HSA-156915;R-HSA-156912;R-HSA-72691;R-HSA-5389857;R-HSA-72697;R-HSA-156923;R-HSA-141691"
R-HSA-8874081,"MET activates PTK2 signaling",9,32,0.0021076203648817756,3.537740158111591E-4,0.059932210111853124,5,5,3.5516408580764315E-4,9606,Homo sapiens,"COL1A1;LAMA5;COL3A1;COL1A2;COL5A1;COL11A1;COL5A2;MET;PTK2","","R-HSA-8874083;R-HSA-8874082;R-HSA-8874080;R-HSA-8874079;R-HSA-8874078"
R-HSA-68886,"M Phase",47,416,0.027399064743463084,3.8418083405034054E-4,0.059932210111853124,51,91,0.006463986361699105,9606,Homo sapiens,"CEP57;ANKLE2;NUMA1;PSMD14;RPN2;BUB1B;SMC3;SMC4;SMC2;NIPBL;XPO1;SPAST;PSMB3;RAD21;TMEM208;KNTC1;NEK2;BUB3;TNPO1;NINL;BUB1;CEP290;RAB2A;UBE2I;CEP135;CSNK2A1;TUBB;H2AFX;KIF23;TUBG1;STAG1;MAU2;CENPF;UBE2S;PSMC4;PSME3;BIRC5;FGFR1OP;ANAPC5;HIST1H2BH;CEP63;NCAPD3;KIF20A;HIST1H2BD;KPNB1","","R-HSA-2514854;R-HSA-156673;R-HSA-375302;R-HSA-1638803;R-HSA-2294574;R-HSA-2995389;R-HSA-2995388;R-HSA-2545203;R-HSA-2520883;R-HSA-2294580;R-HSA-380316;R-HSA-2468287;R-HSA-2294590;R-HSA-9668405;R-HSA-2172678;R-HSA-174121;R-HSA-2422927;R-HSA-3000449;R-HSA-9668415;R-HSA-2466068;R-HSA-156723;R-HSA-2470935;R-HSA-2429719;R-HSA-2301205;R-HSA-9668389;R-HSA-1638821;R-HSA-2245218;R-HSA-174144;R-HSA-2545253;R-HSA-2288097;R-HSA-2467809;R-HSA-2467811;R-HSA-9624798;R-HSA-9668419;R-HSA-2529015;R-HSA-9615937;R-HSA-380508;R-HSA-2529020;R-HSA-9615945;R-HSA-2172666;R-HSA-2468293;R-HSA-9648114;R-HSA-9667952;R-HSA-2314566;R-HSA-2294600;R-HSA-2468040;R-HSA-9667965;R-HSA-2484822;R-HSA-380278;R-HSA-2467794;R-HSA-174202"
