Names	total	elements
GSE2549 GSE51024	839	ABCA3
		SAMD4A
		PKNOX2
		BTG2
		APBB2
		GFOD2
		CXCL3
		STYK1
		WISP2
		RGN
		ERG
		KCNK3
		TOB2
		RPS6KA5
		MAPKAPK2
		SLK
		A2M
		HIGD1B
		LARP7
		RBM17
		PRDM2
		MAOA
		LOC101930400///AKR1C2
		KIAA1324
		SEC14L1
		FCN1
		TF
		TMEM59
		SPTBN1
		GNA11
		UNC13B
		MAPK10
		ZNF552
		ACADL
		PIR-FIGF///FIGF
		NFIL3
		SNORD73A///RPS3A
		SPRY2
		LILRA6
		GIPR
		AHNAK
		FHL1
		ARID5A
		SPINK5
		JADE1
		PPARGC1A
		APOBEC3A_B///APOBEC3A
		NDRG2
		SEMA3G
		C5
		LDLR
		RCAN1
		SERPINB13
		C1orf115
		CASP1
		HNRNPA3///HNRNPA3P1
		SYNE3///LINC00341
		SPAG6
		KALRN
		B2M
		PPFIBP1
		FAM49A
		AGER
		RMDN3
		CD83
		CD93
		KDM6B
		CLEC4M
		CLDN10
		KIAA0232
		WIF1
		FLI1
		SCNN1B
		ECHDC3
		CCT6B
		SNCA
		ARHGAP26
		LOC101928826///TPT1
		NR4A3
		SOCS3
		LOC101928830///LTA4H
		CGRRF1
		MAGI1
		NKX2-1
		ICAM2
		GPD1L
		VPS37B
		FOXO1
		GPM6A
		CEP104
		SETD3
		ACOX3
		CFAP74
		RPS6KA2
		GADD45B
		DAAM2
		ATG4A
		LINC01140
		WFS1
		FPR1
		SYN2
		KIR2DS5
		ADGRF5
		VNN3
		HBA2///HBA1
		MCF2L
		CFAP70
		PAM
		ALDH1L1
		CCL23
		PPP1R15A
		C12orf49
		STARD8
		EIF4E
		ABHD5
		ADGRE5
		CCL18
		ATP2C2
		NRN1
		KDM7A
		CXCR1
		CTNNA1
		NTRK2
		CALM3///CALM2///CALM1
		PFKFB2
		MIER2
		KIAA0513
		CHD7
		ALOX5AP
		TACC1
		KRT4
		FMO3
		CXCL2
		FZD5
		ZNF10
		TRAK2
		LGALS3
		LEPROT///LEPR
		TPSB2
		HBG2///HBG1
		TACSTD2
		CPA3
		MYOC
		TAL1
		ACSL1
		VIP
		TBX3
		C16orf72
		RGS13
		PRX
		SYNE1
		FAM110D
		NSFL1C
		HBB
		HEY1
		GNG11
		ZER1
		DDX17
		HIP1R
		ZNF204P
		SCN7A
		PEG3
		TMEM243
		RAP2A
		CA8
		CDC42EP4
		ARG2
		SFTPC
		SHANK2
		RAPGEF5
		MAP4K2
		PRDM5
		GGTLC1
		LPL
		CA5B
		GATA2
		SOSTDC1
		GPC3
		FPR2
		LINC00312
		CDH19
		TPSB2///TPSAB1
		PGM5
		LMCD1
		CAV2
		MARCO
		TPPP
		GSTM5
		KIAA1462
		CPT1A
		FOXF2
		S100A12
		TREM1
		N4BP2L1
		SERPINA3
		LBH
		SYNM
		PHF11
		NDEL1
		ARSJ
		KCNS3
		RNASE4
		PARD6B
		MLYCD
		CH25H
		CYP4B1
		SAV1
		HYAL1
		AGR2
		HOPX
		AFF3
		MYB
		CHPT1
		ERBB4
		GPHN
		PTN
		HECA
		TNIK
		MACF1
		GSTA1
		LAMA2
		ADD3
		NID1
		CAPN3
		KCNE1
		ORM2///ORM1
		MMRN2
		NDST1
		IRF1
		RHOF
		DIAPH2
		RXRA
		PLN
		DSTNP2
		CEACAM8
		TMEM30B
		HBEGF
		SOD3
		TIPARP
		DNASE1L3
		C8orf4
		CD36
		HSD17B11
		PAX9
		CXCR2
		APBB1
		STAT4
		ETS2
		FOLR1
		HAL
		BCL2L2
		SCD5
		MAL
		AQP4
		PRKCD
		TP73
		SERPINA1
		COL4A3
		EGR1
		CNR1
		ZFP36L2
		MTF1
		THBD
		PROSER1
		ABCA8
		LOC729966///PDE4C
		SEC14L3
		TRPV2
		PLA1A
		STOM
		SH3GL3
		MAPRE3
		EDNRB
		SLIT3
		ATP5S
		LOC100996792///MAP2K3
		DCAF1
		FAM83E
		MYH11
		INPP1
		ITPR1
		LINC01314
		ARRB1
		DAPK2
		CAMP
		TNS1
		OVOL2
		EIF3F
		ANG
		G0S2
		C10orf10
		TMEM40
		CAMK2N1
		SUN2
		UBE2B
		CCDC30
		S100A8
		MTUS1
		PLEKHF2
		F8
		MCL1
		IL6
		TMEM100
		SF1
		MVB12B
		DNAH2
		LY6G5C
		ACE
		MGAM
		CACNA1D
		SIGIRR
		DPT
		PRKAR2B
		ABCG2
		FUT1
		PECAM1
		PTPN1
		TBX4
		EZH1
		PCDH1
		ACOT1///ACOT2
		CD59
		MAOB
		CLDN5
		ADGRB3
		HGD
		CDO1
		HIVEP2
		PRH1-PRR4///PRR4
		FAM65B
		NOL12
		FOXO4
		OR7E47P
		EXOSC7///CLEC3B
		EIF5
		PLA2G5
		PIGA
		C8B
		TOX4
		TSR2
		MBNL1
		LOC441204
		SLC1A1
		AGPAT2
		PEX3
		IDI1
		CX3CL1
		LDB2
		NR5A2
		ALDH1A1
		FMO5
		IQSEC1
		RBM22
		JAM2
		PLAGL2
		GLYR1
		CASZ1
		CDKN2AIP
		SFTPB
		CFTR
		DZIP3
		CEBPA
		LRRN3
		ARID3B
		CDKN1C
		KIF13B
		ANKRD12
		PCDH9
		LMO3
		SOCS2
		CYP2C8
		DPEP2
		ARHGEF6
		TGFBR2
		IL33
		AMN
		PGC
		ARHGAP6
		KLF15
		NRCAM
		CHST5
		FABP4
		CSRP2
		ADIPOR2
		FRZB
		CLDN8
		PPM1F
		FAM107A
		GPX3
		GPM6B
		RRAGD
