Names	total	elements
GSE2549 GSE51024	889	C5orf42
		RPS17
		APBB2
		IRAK1
		RPS18
		ESYT1
		LMAN1
		ATP5G2
		CDK14
		CHD9
		COX15
		MET
		NINL
		SLC12A8
		EVC
		MED13L
		PTCD3
		KIAA1033
		EIF4G3
		7-Mar
		PHF20
		COL1A1
		DGUOK
		MANEA
		GDPD5
		CEP350
		CIAO1
		WDR45
		TIAL1
		USP14
		HSPD1
		TUBB
		PLXNA1
		HS2ST1
		SRSF11
		THADA
		PMS2P9///PMS2P5
		ELAC2
		ASS1
		DDX18
		SRP72
		LOC202181
		MTX1
		ATR
		MIR7113///MIR4691///NDUFS8
		CTC-338M12.4
		GLG1
		MED14
		TSN
		TPBG
		KLHL7
		ANKLE2
		RBBP6
		C1orf112
		DYRK4
		PDAP1
		BRD4
		CUL4B
		DNAJC9
		ITSN1
		MRTO4
		SNORD38B///SNORD55///RPS8
		PAWR
		TLK1
		SCRN1
		RER1
		UPK1B
		FAM120A
		ATP5H
		TM9SF4
		RAB5A
		METTL5
		XAF1
		CA9
		GPS1
		IMPAD1
		HCFC1R1
		CBS
		ELF4
		TCFL5
		NCSTN
		IL18
		TRPC1
		TAF1D
		KIAA0368
		MCM5
		TMEM106C
		SPATS2L
		GEMIN6
		UQCRQ
		HN1
		CDH11
		AP2S1
		NSUN5
		DNAAF5
		CHPF2
		AMOTL2
		PKP2
		CNOT2
		SEC61A1
		FKTN
		TWSG1
		GALNT10
		MMP24
		TP53I3
		SLC22A5
		CHTOP
		KIF23
		LOC101927137///CCT3
		MTF2
		MIR6758///MARS
		FAM3C
		HNRNPH1
		OBSL1
		LOC441155///ZC3H11A
		MRM2
		OGFRL1
		SIAH2
		SPAG5
		PNMA2
		CEP290
		CNPY3
		CEP63
		CLIC4
		RPS10
		SDF4
		ITGBL1
		TNPO1
		ZFP36L1
		MIR4784///MZT2A///MZT2B
		WDR74
		PRC1
		TMPRSS3
		STAG1
		APOOL
		SMARCA4
		TMEM43
		SSB
		SEC61G
		TCERG1
		RPRD1A
		DAXX
		NRDC
		ERBIN
		MAP3K12
		PAAF1
		RAD50
		CDK7
		SSR2
		MCM2
		MCM4
		TOMM70
		BHLHE40
		WISP1
		ARHGAP5
		PWP1
		NSFL1C
		CANT1
		LRRC1
		NAB1
		ZMYM4
		VCAN
		LOC101060363///PPIA
		RPL35A
		CBX3
		SULF1
		ACP1
		NCK1
		SLC2A4RG
		CUL7
		NONO
		FAT1
		SNORA11E///SNORA11D///MAGED4///MAGED4B
		MIR4746///UBXN6
		KLHL20
		NMT1
		SOCS5
		ATG12
		MBOAT7
		CALD1
		SKIL
		KDELR2
		RPN2
		TERF1
		COL11A1
		RLIM///PABPC1
		PLA2G12A
		STX6
		HIST1H2BH
		BRD3
		TNPO2
		ROR1
		MYO1D
		BMP2K
		HEXA
		FKBP11
		RPL38
		CHPF
		CSNK2A1
		COL1A2
		TMEM208
		UBR4
		KTN1
		CCT6A
		TRIM5
		NEK2
		SHMT2
		HDLBP
		ACTR2
		ACTR3
		UGCG
		ATRX
		SEC24D
		MDFIC
		PCMTD2
		RECQL
		SPATA5L1
		UNC5B
		SOX4
		C19orf53
		GTF2E1
		DDOST
		PHKG2
		LOC100506639///ZNF131
		ABL2
		CDK12
		ZNF43
		ITGB4
		UBE2I
		EZH2
		TMEM223
		ARMC1
		PRKCI
		GNPDA1
		SKP2
		PARVA
		CCT2
		ZNF117
		NKRF
		FANCL
		KIF18B
		PIK3C3
		ZMYND8
		PDXK
		ATG4B
		NDUFB4
		ATP2C1
		AHCY
		PABPC3
		RIPK2
		TRIM37
		STRADA
		MAGT1
		RRAS2
		SLC25A13
		TMEM256-PLSCR3///PLSCR3
		EFCAB14
		WWC1
		MAP2K2
		LARP1
		MPI
		LGALS3BP
		LDHA
		EGLN1
		STAT3
		MBD4
		MPZL1
		ADAM9
		NOP16
		PCNX4
		LRPPRC
		LOC440434
		SETD5
		GALNT12
		TNKS
		PRRC2C
		LTN1
		RPL17-C18orf32///SNORD58C///SNORD58A///SNORD58B///RPL17
		C1QTNF3-AMACR///AMACR
		PPIB
		CSE1L
		EDEM2
		SLC4A7
		GART
		CREBZF
		NSUN5P1
		PTPA
		ITPR2
		H2AFX
		GOSR1
		UROS
		BUB1
		FAM173A
		GTF3C2
		DIMT1
		MAP4K5
		LASP1
		NUDT3
		LOC101928615///FNDC3B
		DFNA5
		RAP2B
		SEC31A
		HEATR1
		ZMYM1
		FXR1
		PRPF40A
		PDPN
		P3H4
		COL3A1
		EPPK1
		EEF2
		CHCHD3
		RFWD3
		SMC2
		WDR11
		UBE2S
		WDR46
		MRPL3
		KIAA0907
		MYRF
		CUL5
		HACD3
		PALB2
		CDK2AP1
		HSPA9
		SURF1
		LSM5
		AP1G2
		DCUN1D1
		LOC654342///LOC645166
		DCUN1D4
		ATP6V1H
		IQGAP1
		OGFOD3
		XPO1
		DCTPP1
		TFAP2C
		RRM2
		COPS8
		SLC35F6///CENPA
		TOP2A
		MSANTD3-TMEFF1///TMEFF1
		C15orf38-AP3S2///AP3S2
		FANCI
		TTF1
		TUBG1
		TRIM38
		GCFC2
		WNT2B
		KRR1
		MON2
		UBE4B
		CHD4
		DBN1
		RPS19
		TXNDC9
		SNHG4///MATR3
		ANAPC5
		NFATC2IP
		RHBDF2
		COX5B
		MRS2
		DPP8
		LOC101928635///ALDH1A2
		ANKRD12
		UBA5
		CSNK1G3
		COPB1
		CD320
		ANGEL2
		GLIPR1
		TMED7-TICAM2///TMED7
		MSLN
		MBD3
		CLEC16A
		SLC38A1
		PAICS
		TCEB2
		CACYBP
		CDV3
		ZFR
		NDUFA3
		ULK2
		CANX
		DAP
		CDC34
		PABPC1
		NBPF26///NBPF10///NBPF9///NBPF14
		TSR1
		RSRC2
		KRT5
		TIMP2
		SREK1
		GTF2IRD1
		SNX24
		CEP170P1///CEP170
		PGLS
		COL6A1
		WNT4
		DTWD1
		CBX5
		FASTKD1
		COL5A1
		DCTD
		MAP4K4
		GTF3C1
		FEZ2
		KPNB1
		AHNAK2
		OLA1
		RFX7
		MEX3C
		SSBP1
		PDIA4
		SUPT7L
		SERBP1
		CALHM2
		CEP57
		DDX3X
		HOXB2
		MPG
		POLR3D
		SCG5
		E2F3
		RPL26L1
		FGD6
		CUTA
		LOC730268///ANAPC1
		GOLT1B
		SMARCE1
		TMEM106B
		DPYSL3
		GPC1
		BTG3
		CENPF
		GARS
		GNL2
		PRR3
		PUM1
		KLHL24
		RAB2A
		DLG1
		WASF1
		ANKRD36B
		U2SURP
		G3BP1
		HSD17B10
		ATP13A1
		C1RL
		PAIP1
		IMP4
		TTC3P1///TTC3
		FGFR1
		TTC37
		CASP6
		MTMR1
		YEATS4
		CXADR
		DARS
		SHC1
		STK26
		CAND1
		CLCC1
		RWDD2A
		RPL35
		SMC3
		KPNA2
		PDIA3
		BIRC5
		GNAS
		BCLAF1
		KNTC1
		WDR59
		LRRC8D
		ALDH18A1
		TPI1
		SLC38A10
		PTK2
		HYOU1
		YME1L1
		MEIS2
		ASUN
		SON
		TRAM1
		RACGAP1
		UBXN4
		RHEB
		AVEN
		NIPBL
		EIF3M
		TAF10
		CRIPT
		NDUFA2
		UQCC1
		ABI2
		TMEM33
		LSM12
		ARIH1
		FCGBP
		NBR1
		AGGF1
		NKTR
		C11orf68
		FUBP1
		DHFR
		PPP1R12A
		LOXL1
		PRIM2
		OPA1
		IFI16
		TIPIN
		SSRP1
		RASSF4
		PIEZO2
		CTSB
		LOC101930112///SPG7
		DDX39A
		GANAB
		ASAP1
		AMMECR1
		NCAPD3
		BRCC3
		ZNF254
		PSMC4
		COL5A2
		LOC101928269///LOC100506403///RUNX1
		DSE
		OSBPL3
		ANTXR1
		PLIN3
		SPP1
		MIR3658///UCK2
		MCFD2
		CBX1
		CCDC90B
		COX7B
		CNOT7
		IMPACT
		C1GALT1
		PRKDC
		AP2B1
		SCCPDH
		CDK4
		CALB2
		MXRA5
		ADCK2
		UBE2K
		XPOT
		DHCR7
		CRAT
		PAK1IP1
		NME1-NME2///NME2
		MRPL11
		SLC5A3
		TMEM5
		DPY30///MEMO1
		PLOD2
		ZFAND6
		B4GALT4
		SRGAP2C///SRGAP2B///SRGAP2
		LOC101929500///CRIM1
		MEGF6
		SPAST
		BSG
		BNC1
		NAP1L1
		EEF1A2
		TRIP6
		NSUN5P2///NSUN5P1
		CDH3
		PNISR
		BUB3
		COPB2
		RHOD
		KDM5B
		GFPT1
		RPLP0
		EIF5B
		SNORD68///RPL13
		FAM102A
		TBCE
		MPHOSPH10
		PPP1R14B
		ZNF430
		DMXL2
		COPE
		PTPRF
		ANXA8L1///ANXA8
		FSCN1
		MCM7
		SRD5A1
		CEP55
		ID2B///ID2
		ATF2
		ZNF426
		MED13
		BMP1
		SNRNP25
		CCDC91
		NFE2L1
		MTDH
		PMAIP1
		HSPE1
		NOP14
		EIF4EBP1
		ARPC1B
		EXTL2
		MRPS16
		KRT18
		MFAP2
		NF1P9///NF1
		FKBP15
		RNF24
		LOC100272216
		SSR1
		SLC25A36
		MIR6849///MIR1234///MIR939///CPSF1
		LUC7L3
		LOC102724364///SEC22B
		KRT19
		ENO1
		TIPRL
		P4HA1
		SP3
		ADAMTS3
		MKI67
		GLS
		SPP2
		TP53
		PLGRKT
		LOX
		RPS27L
		MRPS15
		ATXN1
		CPOX
		AK5
		NCOA2
		ATP10D
		PREPL
		PPIC
		RAP2C
		NMU
		ARHGDIG
		PMS2P3
		NSG1
		TPRKB
		HIST1H2BD
		PSMB3
		MTIF2
		ZNF207
		CERS6
		R3HDM1
		ZNF91
		AKR1A1
		GAPDH
		COX7C
		ZC3H15
		GALNT1
		GPX1
		RBM25
		HIST2H2AA4///HIST2H2AA3
		KIAA0101
		HIGD2A
		CYBRD1
		EPHB2
		LOC101929115///KMT2A
		NME1
		SRRM2
		RALBP1
		HGS
		SLC16A1
		RANBP9
		NUDT21
		NKIRAS2
		CYP1B1
		PDLIM5
		CKAP4
		RNASEH1
		COBLL1
		CNPY2
		NBN
		TIA1
		TOPBP1
		TUG1
		ARL1
		EIF3B
		CEP135
		RAB3GAP1
		ASCC3
		DNAJC22
		PTOV1
		UCHL1
		TSSC1
		TMEM267
		DAP3
		PHF3
		THOC2
		MRPL24
		SGPL1
		C5orf15
		PRPF19
		TEFM
		SLC25A16
		STEAP3
		YEATS2
		THBS3
