MCC,,,,,DMNC,,,MNC,,,Degree,,,EPC,,,BottleNeck,
Rank,Name,Score,Symbol,,,,,,,,,,,,,,,
1,9606.ENSP00000385675,5.32E+07,CSF3,,9606.ENSP00000006053,0.84358,,9606.ENSP00000385675,107,,9606.ENSP00000385675,107,,9606.ENSP00000385675,68.079,,9606.ENSP00000405330,64
2,9606.ENSP00000306512,5.31E+07,CXCL2,,9606.ENSP00000262462,0.76639,,9606.ENSP00000405330,73,,9606.ENSP00000405330,79,,9606.ENSP00000306512,63.009,,9606.ENSP00000310036,55
3,9606.ENSP00000264832,5.27E+07,CXCL5,,9606.ENSP00000296026,0.76113,,9606.ENSP00000306512,68,,9606.ENSP00000287820,72,,9606.ENSP00000457421,59.831,,9606.ENSP00000385675,51
4,9606.ENSP00000225474,5.21E+07,CXCL8,,9606.ENSP00000482639,0.69977,,9606.ENSP00000287820,68,,9606.ENSP00000306512,68,,9606.ENSP00000310036,58.592,,9606.ENSP00000323588,36
5,9606.ENSP00000457421,4.86E+07,CXCR2,,9606.ENSP00000256593,0.69977,,9606.ENSP00000310036,62,,9606.ENSP00000310036,63,,9606.ENSP00000287820,58.191,,9606.ENSP00000295256,35
6,9606.ENSP00000319635,4.84E+07,ICAM1,,9606.ENSP00000233156,0.67062,,9606.ENSP00000457421,56,,9606.ENSP00000457421,58,,9606.ENSP00000264832,57.687,,9606.ENSP00000287820,32
7,9606.ENSP00000427279,4.84E+07,IL6,,9606.ENSP00000335620,0.66826,,9606.ENSP00000264832,50,,9606.ENSP00000264832,51,,9606.ENSP00000405330,57.64,,9606.ENSP00000241052,32
8,9606.ENSP00000296027,4.83E+07,PECAM1,,9606.ENSP00000360002,0.66826,,9606.ENSP00000356438,49,,9606.ENSP00000288135,50,,9606.ENSP00000356438,54.461,,9606.ENSP00000003084,25
9,9606.ENSP00000263686,4.81E+07,PF4,,9606.ENSP00000312326,0.65844,,9606.ENSP00000288135,49,,9606.ENSP00000261405,50,,9606.ENSP00000288135,50.764,,9606.ENSP00000078429,19
10,9606.ENSP00000296029,4.79E+07,SELP,,9606.ENSP00000459533,0.64826,,9606.ENSP00000261405,46,,9606.ENSP00000356438,49,,9606.ENSP00000261405,48.863,,9606.ENSP00000261405,18
