MCODE App Results
Date: Sep 30, 2022, 10:41:44 AM

Parameters:
   Network Scoring:
      Include Loops: false  Degree Cutoff: 2
   Cluster Finding:
      Node Score Cutoff: 0.2  Haircut: true  Fluff: false  K-Core: 2  Max. Depth from Seed: 100

Cluster	Score (Density*#Nodes)	Nodes	Edges	Node IDs
1	10.2	21	102	9606.ENSP00000334145, 9606.ENSP00000479955, 9606.ENSP00000319635, 9606.ENSP00000262462, 9606.ENSP00000295683, 9606.ENSP00000296026, 9606.ENSP00000225474, 9606.ENSP00000296027, 9606.ENSP00000457421, 9606.ENSP00000399421, 9606.ENSP00000261405, 9606.ENSP00000344115, 9606.ENSP00000263686, 9606.ENSP00000356438, 9606.ENSP00000427279, 9606.ENSP00000428340, 9606.ENSP00000006053, 9606.ENSP00000366307, 9606.ENSP00000296029, 9606.ENSP00000310036, 9606.ENSP00000005178
2	6.5	29	91	9606.ENSP00000433138, 9606.ENSP00000368880, 9606.ENSP00000370842, 9606.ENSP00000354476, 9606.ENSP00000468897, 9606.ENSP00000233710, 9606.ENSP00000330341, 9606.ENSP00000244336, 9606.ENSP00000230990, 9606.ENSP00000306512, 9606.ENSP00000339992, 9606.ENSP00000452780, 9606.ENSP00000341044, 9606.ENSP00000390849, 9606.ENSP00000264832, 9606.ENSP00000360761, 9606.ENSP00000309757, 9606.ENSP00000360871, 9606.ENSP00000244709, 9606.ENSP00000422607, 9606.ENSP00000265641, 9606.ENSP00000264867, 9606.ENSP00000239938, 9606.ENSP00000256104, 9606.ENSP00000419692, 9606.ENSP00000272369, 9606.ENSP00000349446, 9606.ENSP00000337701, 9606.ENSP00000357722
3	5.714	22	60	9606.ENSP00000254301, 9606.ENSP00000296435, 9606.ENSP00000290866, 9606.ENSP00000357726, 9606.ENSP00000256593, 9606.ENSP00000357727, 9606.ENSP00000471493, 9606.ENSP00000324648, 9606.ENSP00000241052, 9606.ENSP00000360002, 9606.ENSP00000455897, 9606.ENSP00000237612, 9606.ENSP00000362195, 9606.ENSP00000261783, 9606.ENSP00000368450, 9606.ENSP00000295256, 9606.ENSP00000360317, 9606.ENSP00000482639, 9606.ENSP00000297785, 9606.ENSP00000335620, 9606.ENSP00000357123, 9606.ENSP00000373477
4	5.667	7	17	9606.ENSP00000339063, 9606.ENSP00000216554, 9606.ENSP00000425561, 9606.ENSP00000431800, 9606.ENSP00000353741, 9606.ENSP00000382840, 9606.ENSP00000330237
5	4.5	5	9	9606.ENSP00000261383, 9606.ENSP00000374045, 9606.ENSP00000310829, 9606.ENSP00000367815, 9606.ENSP00000458355
6	4	4	6	9606.ENSP00000354573, 9606.ENSP00000300249, 9606.ENSP00000417518, 9606.ENSP00000233121
7	3.714	36	65	9606.ENSP00000293599, 9606.ENSP00000226760, 9606.ENSP00000382783, 9606.ENSP00000377284, 9606.ENSP00000483985, 9606.ENSP00000287820, 9606.ENSP00000400341, 9606.ENSP00000323588, 9606.ENSP00000296233, 9606.ENSP00000338345, 9606.ENSP00000345681, 9606.ENSP00000298472, 9606.ENSP00000356331, 9606.ENSP00000386346, 9606.ENSP00000155840, 9606.ENSP00000367309, 9606.ENSP00000409544, 9606.ENSP00000336829, 9606.ENSP00000181383, 9606.ENSP00000316152, 9606.ENSP00000299339, 9606.ENSP00000340684, 9606.ENSP00000328998, 9606.ENSP00000437256, 9606.ENSP00000360973, 9606.ENSP00000450527, 9606.ENSP00000363921, 9606.ENSP00000377003, 9606.ENSP00000353393, 9606.ENSP00000365777, 9606.ENSP00000306606, 9606.ENSP00000380692, 9606.ENSP00000379191, 9606.ENSP00000385834, 9606.ENSP00000403644, 9606.ENSP00000264613
8	3.625	17	29	9606.ENSP00000380878, 9606.ENSP00000356257, 9606.ENSP00000261461, 9606.ENSP00000262741, 9606.ENSP00000360293, 9606.ENSP00000427514, 9606.ENSP00000315011, 9606.ENSP00000446955, 9606.ENSP00000405330, 9606.ENSP00000462468, 9606.ENSP00000358022, 9606.ENSP00000386857, 9606.ENSP00000250448, 9606.ENSP00000305924, 9606.ENSP00000477868, 9606.ENSP00000200453, 9606.ENSP00000334051
9	3.333	4	5	9606.ENSP00000362399, 9606.ENSP00000356540, 9606.ENSP00000367756, 9606.ENSP00000363054
10	3.143	8	11	9606.ENSP00000294339, 9606.ENSP00000288135, 9606.ENSP00000257818, 9606.ENSP00000379616, 9606.ENSP00000354952, 9606.ENSP00000385675, 9606.ENSP00000222553, 9606.ENSP00000332139
