MCODE App Results
Date: Sep 13, 2022, 12:04:08 PM

Parameters:
   Network Scoring:
      Include Loops: false  Degree Cutoff: 2
   Cluster Finding:
      Node Score Cutoff: 0.2  Haircut: true  Fluff: false  K-Core: 2  Max. Depth from Seed: 100

Cluster	Score (Density*#Nodes)	Nodes	Edges	Node IDs
1	57.406	65	1837	9606.ENSP00000260731, 9606.ENSP00000361298, 9606.ENSP00000311429, 9606.ENSP00000298048, 9606.ENSP00000328236, 9606.ENSP00000286398, 9606.ENSP00000481103, 9606.ENSP00000428489, 9606.ENSP00000357643, 9606.ENSP00000270861, 9606.ENSP00000356379, 9606.ENSP00000265056, 9606.ENSP00000281453, 9606.ENSP00000364976, 9606.ENSP00000217026, 9606.ENSP00000251496, 9606.ENSP00000303706, 9606.ENSP00000480987, 9606.ENSP00000216122, 9606.ENSP00000453403, 9606.ENSP00000438483, 9606.ENSP00000377793, 9606.ENSP00000307288, 9606.ENSP00000465992, 9606.ENSP00000376457, 9606.ENSP00000332915, 9606.ENSP00000355922, 9606.ENSP00000367276, 9606.ENSP00000325017, 9606.ENSP00000315644, 9606.ENSP00000355966, 9606.ENSP00000324020, 9606.ENSP00000335463, 9606.ENSP00000360540, 9606.ENSP00000301633, 9606.ENSP00000264233, 9606.ENSP00000305480, 9606.ENSP00000414109, 9606.ENSP00000378699, 9606.ENSP00000377492, 9606.ENSP00000411532, 9606.ENSP00000311083, 9606.ENSP00000405726, 9606.ENSP00000260363, 9606.ENSP00000230056, 9606.ENSP00000263181, 9606.ENSP00000388648, 9606.ENSP00000349961, 9606.ENSP00000302530, 9606.ENSP00000262460, 9606.ENSP00000361043, 9606.ENSP00000322180, 9606.ENSP00000320147, 9606.ENSP00000310842, 9606.ENSP00000300035, 9606.ENSP00000378356, 9606.ENSP00000262105, 9606.ENSP00000323300, 9606.ENSP00000353770, 9606.ENSP00000288207, 9606.ENSP00000216911, 9606.ENSP00000264156, 9606.ENSP00000404190, 9606.ENSP00000368458, 9606.ENSP00000287598
2	20.889	28	282	9606.ENSP00000472985, 9606.ENSP00000420714, 9606.ENSP00000309830, 9606.ENSP00000464342, 9606.ENSP00000386655, 9606.ENSP00000355890, 9606.ENSP00000449328, 9606.ENSP00000270625, 9606.ENSP00000364320, 9606.ENSP00000434024, 9606.ENSP00000345571, 9606.ENSP00000331019, 9606.ENSP00000339795, 9606.ENSP00000257904, 9606.ENSP00000301280, 9606.ENSP00000259469, 9606.ENSP00000317376, 9606.ENSP00000418082, 9606.ENSP00000307940, 9606.ENSP00000419117, 9606.ENSP00000470972, 9606.ENSP00000393241, 9606.ENSP00000346088, 9606.ENSP00000481646, 9606.ENSP00000346015, 9606.ENSP00000362208, 9606.ENSP00000308897, 9606.ENSP00000346046
3	17.772	80	702	9606.ENSP00000347581, 9606.ENSP00000355541, 9606.ENSP00000380692, 9606.ENSP00000379156, 9606.ENSP00000328998, 9606.ENSP00000288937, 9606.ENSP00000244230, 9606.ENSP00000431800, 9606.ENSP00000261015, 9606.ENSP00000330237, 9606.ENSP00000316109, 9606.ENSP00000356438, 9606.ENSP00000418915, 9606.ENSP00000338573, 9606.ENSP00000301364, 9606.ENSP00000351273, 9606.ENSP00000364293, 9606.ENSP00000269571, 9606.ENSP00000370625, 9606.ENSP00000387365, 9606.ENSP00000265734, 9606.ENSP00000259239, 9606.ENSP00000262160, 9606.ENSP00000252486, 9606.ENSP00000357283, 9606.ENSP00000368887, 9606.ENSP00000432119, 9606.ENSP00000379140, 9606.ENSP00000368104, 9606.ENSP00000380495, 9606.ENSP00000378517, 9606.ENSP00000242351, 9606.ENSP00000403701, 9606.ENSP00000220003, 9606.ENSP00000411397, 9606.ENSP00000360034, 9606.ENSP00000353741, 9606.ENSP00000262768, 9606.ENSP00000448035, 9606.ENSP00000383118, 9606.ENSP00000419005, 9606.ENSP00000263239, 9606.ENSP00000452786, 9606.ENSP00000380033, 9606.ENSP00000354125, 9606.ENSP00000362036, 9606.ENSP00000346839, 9606.ENSP00000355896, 9606.ENSP00000268182, 9606.ENSP00000368927, 9606.ENSP00000274255, 9606.ENSP00000302564, 9606.ENSP00000483495, 9606.ENSP00000363746, 9606.ENSP00000202816, 9606.ENSP00000243253, 9606.ENSP00000354720, 9606.ENSP00000229214, 9606.ENSP00000348573, 9606.ENSP00000384302, 9606.ENSP00000355094, 9606.ENSP00000262948, 9606.ENSP00000339063, 9606.ENSP00000389814, 9606.ENSP00000199320, 9606.ENSP00000336829, 9606.ENSP00000299855, 9606.ENSP00000340507, 9606.ENSP00000466967, 9606.ENSP00000307786, 9606.ENSP00000225964, 9606.ENSP00000350170, 9606.ENSP00000263629, 9606.ENSP00000312652, 9606.ENSP00000355899, 9606.ENSP00000253237, 9606.ENSP00000266732, 9606.ENSP00000411010, 9606.ENSP00000409581, 9606.ENSP00000362153
4	17.531	99	859	9606.ENSP00000351905, 9606.ENSP00000341189, 9606.ENSP00000295491, 9606.ENSP00000474096, 9606.ENSP00000326948, 9606.ENSP00000264657, 9606.ENSP00000309757, 9606.ENSP00000339191, 9606.ENSP00000358022, 9606.ENSP00000297785, 9606.ENSP00000231004, 9606.ENSP00000290866, 9606.ENSP00000437256, 9606.ENSP00000290663, 9606.ENSP00000378191, 9606.ENSP00000399968, 9606.ENSP00000399421, 9606.ENSP00000215754, 9606.ENSP00000342374, 9606.ENSP00000381216, 9606.ENSP00000419692, 9606.ENSP00000239938, 9606.ENSP00000316042, 9606.ENSP00000229239, 9606.ENSP00000345672, 9606.ENSP00000282486, 9606.ENSP00000052754, 9606.ENSP00000310036, 9606.ENSP00000281928, 9606.ENSP00000261769, 9606.ENSP00000401303, 9606.ENSP00000391211, 9606.ENSP00000297268, 9606.ENSP00000226574, 9606.ENSP00000379097, 9606.ENSP00000302665, 9606.ENSP00000222553, 9606.ENSP00000300291, 9606.ENSP00000405330, 9606.ENSP00000349446, 9606.ENSP00000380888, 9606.ENSP00000357907, 9606.ENSP00000355124, 9606.ENSP00000335153, 9606.ENSP00000006053, 9606.ENSP00000157812, 9606.ENSP00000229307, 9606.ENSP00000400142, 9606.ENSP00000217426, 9606.ENSP00000378217, 9606.ENSP00000433623, 9606.ENSP00000452780, 9606.ENSP00000251871, 9606.ENSP00000393312, 9606.ENSP00000340944, 9606.ENSP00000357679, 9606.ENSP00000344115, 9606.ENSP00000250448, 9606.ENSP00000263341, 9606.ENSP00000354522, 9606.ENSP00000295400, 9606.ENSP00000404121, 9606.ENSP00000227524, 9606.ENSP00000295025, 9606.ENSP00000312455, 9606.ENSP00000263025, 9606.ENSP00000055077, 9606.ENSP00000323720, 9606.ENSP00000264867, 9606.ENSP00000262904, 9606.ENSP00000282397, 9606.ENSP00000317272, 9606.ENSP00000327336, 9606.ENSP00000313007, 9606.ENSP00000372689, 9606.ENSP00000245414, 9606.ENSP00000238256, 9606.ENSP00000267101, 9606.ENSP00000295256, 9606.ENSP00000478570, 9606.ENSP00000225577, 9606.ENSP00000371253, 9606.ENSP00000256104, 9606.ENSP00000171887, 9606.ENSP00000373487, 9606.ENSP00000428340, 9606.ENSP00000368880, 9606.ENSP00000419851, 9606.ENSP00000276079, 9606.ENSP00000386636, 9606.ENSP00000357705, 9606.ENSP00000320171, 9606.ENSP00000269141, 9606.ENSP00000375892, 9606.ENSP00000252242, 9606.ENSP00000357320, 9606.ENSP00000451828, 9606.ENSP00000482546, 9606.ENSP00000357206
5	11.15	121	669	9606.ENSP00000326119, 9606.ENSP00000362441, 9606.ENSP00000221233, 9606.ENSP00000329419, 9606.ENSP00000377284, 9606.ENSP00000379823, 9606.ENSP00000274625, 9606.ENSP00000249923, 9606.ENSP00000441691, 9606.ENSP00000378721, 9606.ENSP00000483254, 9606.ENSP00000316881, 9606.ENSP00000327368, 9606.ENSP00000263556, 9606.ENSP00000244728, 9606.ENSP00000264563, 9606.ENSP00000307863, 9606.ENSP00000368100, 9606.ENSP00000449884, 9606.ENSP00000364000, 9606.ENSP00000454157, 9606.ENSP00000281043, 9606.ENSP00000380901, 9606.ENSP00000410294, 9606.ENSP00000358071, 9606.ENSP00000216554, 9606.ENSP00000424328, 9606.ENSP00000280551, 9606.ENSP00000345347, 9606.ENSP00000313420, 9606.ENSP00000416066, 9606.ENSP00000480791, 9606.ENSP00000366604, 9606.ENSP00000400341, 9606.ENSP00000400433, 9606.ENSP00000265077, 9606.ENSP00000386651, 9606.ENSP00000358548, 9606.ENSP00000241261, 9606.ENSP00000265165, 9606.ENSP00000354394, 9606.ENSP00000339824, 9606.ENSP00000342235, 9606.ENSP00000292408, 9606.ENSP00000447173, 9606.ENSP00000414303, 9606.ENSP00000222254, 9606.ENSP00000244869, 9606.ENSP00000323588, 9606.ENSP00000244020, 9606.ENSP00000360683, 9606.ENSP00000225567, 9606.ENSP00000254630, 9606.ENSP00000361433, 9606.ENSP00000366563, 9606.ENSP00000336712, 9606.ENSP00000349168, 9606.ENSP00000358983, 9606.ENSP00000455897, 9606.ENSP00000280357, 9606.ENSP00000427514, 9606.ENSP00000258739, 9606.ENSP00000306881, 9606.ENSP00000256682, 9606.ENSP00000386918, 9606.ENSP00000480707, 9606.ENSP00000262995, 9606.ENSP00000293362, 9606.ENSP00000352516, 9606.ENSP00000362795, 9606.ENSP00000419449, 9606.ENSP00000242776, 9606.ENSP00000395574, 9606.ENSP00000325002, 9606.ENSP00000261973, 9606.ENSP00000361824, 9606.ENSP00000323696, 9606.ENSP00000346300, 9606.ENSP00000331327, 9606.ENSP00000199706, 9606.ENSP00000361465, 9606.ENSP00000358089, 9606.ENSP00000434412, 9606.ENSP00000327801, 9606.ENSP00000251047, 9606.ENSP00000358997, 9606.ENSP00000379191, 9606.ENSP00000473172, 9606.ENSP00000359114, 9606.ENSP00000349588, 9606.ENSP00000299705, 9606.ENSP00000302886, 9606.ENSP00000319635, 9606.ENSP00000296026, 9606.ENSP00000349259, 9606.ENSP00000254301, 9606.ENSP00000300026, 9606.ENSP00000259206, 9606.ENSP00000478927, 9606.ENSP00000357048, 9606.ENSP00000323065, 9606.ENSP00000353393, 9606.ENSP00000351671, 9606.ENSP00000427279, 9606.ENSP00000262812, 9606.ENSP00000282903, 9606.ENSP00000296027, 9606.ENSP00000428994, 9606.ENSP00000161863, 9606.ENSP00000425561, 9606.ENSP00000276925, 9606.ENSP00000230990, 9606.ENSP00000355180, 9606.ENSP00000256646, 9606.ENSP00000367608, 9606.ENSP00000338389, 9606.ENSP00000261783, 9606.ENSP00000278412, 9606.ENSP00000345206, 9606.ENSP00000257290, 9606.ENSP00000225474
6	7.062	33	113	9606.ENSP00000260810, 9606.ENSP00000260227, 9606.ENSP00000312987, 9606.ENSP00000341551, 9606.ENSP00000287820, 9606.ENSP00000385675, 9606.ENSP00000306512, 9606.ENSP00000286788, 9606.ENSP00000382595, 9606.ENSP00000297338, 9606.ENSP00000237612, 9606.ENSP00000343741, 9606.ENSP00000260302, 9606.ENSP00000483985, 9606.ENSP00000457421, 9606.ENSP00000323421, 9606.ENSP00000241052, 9606.ENSP00000386541, 9606.ENSP00000371475, 9606.ENSP00000340691, 9606.ENSP00000402084, 9606.ENSP00000290158, 9606.ENSP00000299300, 9606.ENSP00000396308, 9606.ENSP00000288135, 9606.ENSP00000400591, 9606.ENSP00000480132, 9606.ENSP00000433138, 9606.ENSP00000437955, 9606.ENSP00000369375, 9606.ENSP00000436049, 9606.ENSP00000275603, 9606.ENSP00000360493
7	6.296	109	340	9606.ENSP00000267953, 9606.ENSP00000323929, 9606.ENSP00000384371, 9606.ENSP00000420195, 9606.ENSP00000481357, 9606.ENSP00000263734, 9606.ENSP00000379182, 9606.ENSP00000262741, 9606.ENSP00000407375, 9606.ENSP00000240922, 9606.ENSP00000261584, 9606.ENSP00000476228, 9606.ENSP00000231487, 9606.ENSP00000359804, 9606.ENSP00000256443, 9606.ENSP00000251413, 9606.ENSP00000343204, 9606.ENSP00000481842, 9606.ENSP00000446093, 9606.ENSP00000254508, 9606.ENSP00000263686, 9606.ENSP00000356792, 9606.ENSP00000269305, 9606.ENSP00000334145, 9606.ENSP00000329243, 9606.ENSP00000394560, 9606.ENSP00000253363, 9606.ENSP00000479955, 9606.ENSP00000353408, 9606.ENSP00000264335, 9606.ENSP00000331201, 9606.ENSP00000369038, 9606.ENSP00000301587, 9606.ENSP00000320092, 9606.ENSP00000387710, 9606.ENSP00000305372, 9606.ENSP00000330341, 9606.ENSP00000242285, 9606.ENSP00000367939, 9606.ENSP00000337065, 9606.ENSP00000352257, 9606.ENSP00000360141, 9606.ENSP00000422626, 9606.ENSP00000261405, 9606.ENSP00000354952, 9606.ENSP00000276603, 9606.ENSP00000355361, 9606.ENSP00000356042, 9606.ENSP00000352925, 9606.ENSP00000301740, 9606.ENSP00000393313, 9606.ENSP00000264552, 9606.ENSP00000292807, 9606.ENSP00000316032, 9606.ENSP00000078429, 9606.ENSP00000317636, 9606.ENSP00000359988, 9606.ENSP00000349967, 9606.ENSP00000370842, 9606.ENSP00000263904, 9606.ENSP00000417142, 9606.ENSP00000366915, 9606.ENSP00000416739, 9606.ENSP00000357113, 9606.ENSP00000339001, 9606.ENSP00000483570, 9606.ENSP00000364210, 9606.ENSP00000263270, 9606.ENSP00000244745, 9606.ENSP00000308944, 9606.ENSP00000366307, 9606.ENSP00000373918, 9606.ENSP00000358635, 9606.ENSP00000425092, 9606.ENSP00000363745, 9606.ENSP00000358513, 9606.ENSP00000435210, 9606.ENSP00000425759, 9606.ENSP00000301838, 9606.ENSP00000355330, 9606.ENSP00000284719, 9606.ENSP00000390651, 9606.ENSP00000462468, 9606.ENSP00000378118, 9606.ENSP00000262238, 9606.ENSP00000395654, 9606.ENSP00000296029, 9606.ENSP00000209875, 9606.ENSP00000263253, 9606.ENSP00000290167, 9606.ENSP00000265433, 9606.ENSP00000418438, 9606.ENSP00000482835, 9606.ENSP00000302846, 9606.ENSP00000333685, 9606.ENSP00000364815, 9606.ENSP00000355751, 9606.ENSP00000369442, 9606.ENSP00000295683, 9606.ENSP00000386458, 9606.ENSP00000258424, 9606.ENSP00000418842, 9606.ENSP00000336762, 9606.ENSP00000262982, 9606.ENSP00000413720, 9606.ENSP00000325863, 9606.ENSP00000371790, 9606.ENSP00000363512, 9606.ENSP00000444029
8	5.208	97	250	9606.ENSP00000429309, 9606.ENSP00000256178, 9606.ENSP00000280346, 9606.ENSP00000354947, 9606.ENSP00000376134, 9606.ENSP00000482457, 9606.ENSP00000325369, 9606.ENSP00000252999, 9606.ENSP00000377878, 9606.ENSP00000417518, 9606.ENSP00000417656, 9606.ENSP00000256637, 9606.ENSP00000350256, 9606.ENSP00000222573, 9606.ENSP00000260970, 9606.ENSP00000327459, 9606.ENSP00000305133, 9606.ENSP00000305416, 9606.ENSP00000333920, 9606.ENSP00000367203, 9606.ENSP00000357727, 9606.ENSP00000294489, 9606.ENSP00000254066, 9606.ENSP00000277865, 9606.ENSP00000262462, 9606.ENSP00000333769, 9606.ENSP00000362994, 9606.ENSP00000265164, 9606.ENSP00000215375, 9606.ENSP00000324890, 9606.ENSP00000252102, 9606.ENSP00000354476, 9606.ENSP00000268603, 9606.ENSP00000234590, 9606.ENSP00000404658, 9606.ENSP00000380378, 9606.ENSP00000264187, 9606.ENSP00000405338, 9606.ENSP00000417573, 9606.ENSP00000271640, 9606.ENSP00000184266, 9606.ENSP00000263360, 9606.ENSP00000264183, 9606.ENSP00000277120, 9606.ENSP00000005178, 9606.ENSP00000252711, 9606.ENSP00000336752, 9606.ENSP00000452479, 9606.ENSP00000261842, 9606.ENSP00000454071, 9606.ENSP00000250405, 9606.ENSP00000254846, 9606.ENSP00000367316, 9606.ENSP00000452123, 9606.ENSP00000377941, 9606.ENSP00000336741, 9606.ENSP00000356669, 9606.ENSP00000253083, 9606.ENSP00000391676, 9606.ENSP00000355924, 9606.ENSP00000337701, 9606.ENSP00000388806, 9606.ENSP00000276914, 9606.ENSP00000292907, 9606.ENSP00000377298, 9606.ENSP00000365439, 9606.ENSP00000441126, 9606.ENSP00000360882, 9606.ENSP00000377148, 9606.ENSP00000422607, 9606.ENSP00000309953, 9606.ENSP00000258080, 9606.ENSP00000265641, 9606.ENSP00000354960, 9606.ENSP00000378040, 9606.ENSP00000349508, 9606.ENSP00000304408, 9606.ENSP00000298281, 9606.ENSP00000261921, 9606.ENSP00000481570, 9606.ENSP00000264110, 9606.ENSP00000309749, 9606.ENSP00000358921, 9606.ENSP00000400365, 9606.ENSP00000296504, 9606.ENSP00000412209, 9606.ENSP00000336687, 9606.ENSP00000245934, 9606.ENSP00000412302, 9606.ENSP00000388638, 9606.ENSP00000301522, 9606.ENSP00000302961, 9606.ENSP00000346879, 9606.ENSP00000356234, 9606.ENSP00000358165, 9606.ENSP00000443319, 9606.ENSP00000434142
9	4.698	107	249	9606.ENSP00000419465, 9606.ENSP00000259512, 9606.ENSP00000471493, 9606.ENSP00000316476, 9606.ENSP00000264065, 9606.ENSP00000337688, 9606.ENSP00000354649, 9606.ENSP00000305924, 9606.ENSP00000362306, 9606.ENSP00000158771, 9606.ENSP00000292782, 9606.ENSP00000377060, 9606.ENSP00000236192, 9606.ENSP00000271688, 9606.ENSP00000322276, 9606.ENSP00000380878, 9606.ENSP00000415556, 9606.ENSP00000306606, 9606.ENSP00000482169, 9606.ENSP00000308576, 9606.ENSP00000360296, 9606.ENSP00000296702, 9606.ENSP00000480150, 9606.ENSP00000407182, 9606.ENSP00000229270, 9606.ENSP00000356563, 9606.ENSP00000362298, 9606.ENSP00000410409, 9606.ENSP00000354742, 9606.ENSP00000298472, 9606.ENSP00000345752, 9606.ENSP00000371152, 9606.ENSP00000262965, 9606.ENSP00000378769, 9606.ENSP00000262039, 9606.ENSP00000363397, 9606.ENSP00000343701, 9606.ENSP00000381588, 9606.ENSP00000343526, 9606.ENSP00000422392, 9606.ENSP00000373620, 9606.ENSP00000378704, 9606.ENSP00000360938, 9606.ENSP00000362592, 9606.ENSP00000338844, 9606.ENSP00000318687, 9606.ENSP00000376453, 9606.ENSP00000217964, 9606.ENSP00000265070, 9606.ENSP00000253925, 9606.ENSP00000445175, 9606.ENSP00000232165, 9606.ENSP00000360365, 9606.ENSP00000420127, 9606.ENSP00000346340, 9606.ENSP00000264161, 9606.ENSP00000391723, 9606.ENSP00000325690, 9606.ENSP00000482639, 9606.ENSP00000436786, 9606.ENSP00000477868, 9606.ENSP00000364204, 9606.ENSP00000267199, 9606.ENSP00000389900, 9606.ENSP00000367835, 9606.ENSP00000264637, 9606.ENSP00000337445, 9606.ENSP00000362314, 9606.ENSP00000379678, 9606.ENSP00000340466, 9606.ENSP00000256593, 9606.ENSP00000355601, 9606.ENSP00000255409, 9606.ENSP00000357123, 9606.ENSP00000360317, 9606.ENSP00000366109, 9606.ENSP00000360497, 9606.ENSP00000401371, 9606.ENSP00000357998, 9606.ENSP00000316335, 9606.ENSP00000378917, 9606.ENSP00000469468, 9606.ENSP00000381717, 9606.ENSP00000263377, 9606.ENSP00000261461, 9606.ENSP00000251363, 9606.ENSP00000359417, 9606.ENSP00000418563, 9606.ENSP00000220764, 9606.ENSP00000389168, 9606.ENSP00000385021, 9606.ENSP00000417273, 9606.ENSP00000320503, 9606.ENSP00000363668, 9606.ENSP00000334100, 9606.ENSP00000390849, 9606.ENSP00000215574, 9606.ENSP00000289316, 9606.ENSP00000260665, 9606.ENSP00000324648, 9606.ENSP00000397908, 9606.ENSP00000366156, 9606.ENSP00000258428, 9606.ENSP00000343001, 9606.ENSP00000324464, 9606.ENSP00000261304, 9606.ENSP00000362399
10	4.574	130	295	9606.ENSP00000395012, 9606.ENSP00000392043, 9606.ENSP00000391490, 9606.ENSP00000354718, 9606.ENSP00000262406, 9606.ENSP00000338173, 9606.ENSP00000229195, 9606.ENSP00000357722, 9606.ENSP00000379364, 9606.ENSP00000244534, 9606.ENSP00000404251, 9606.ENSP00000295702, 9606.ENSP00000294168, 9606.ENSP00000244573, 9606.ENSP00000375836, 9606.ENSP00000280155, 9606.ENSP00000327246, 9606.ENSP00000215727, 9606.ENSP00000264613, 9606.ENSP00000324729, 9606.ENSP00000385142, 9606.ENSP00000248564, 9606.ENSP00000269195, 9606.ENSP00000335592, 9606.ENSP00000469689, 9606.ENSP00000362807, 9606.ENSP00000358423, 9606.ENSP00000481244, 9606.ENSP00000263519, 9606.ENSP00000258873, 9606.ENSP00000363500, 9606.ENSP00000369948, 9606.ENSP00000245457, 9606.ENSP00000360065, 9606.ENSP00000481878, 9606.ENSP00000332247, 9606.ENSP00000399457, 9606.ENSP00000397925, 9606.ENSP00000431391, 9606.ENSP00000417404, 9606.ENSP00000328777, 9606.ENSP00000379616, 9606.ENSP00000338481, 9606.ENSP00000356579, 9606.ENSP00000356257, 9606.ENSP00000419313, 9606.ENSP00000384957, 9606.ENSP00000427772, 9606.ENSP00000467494, 9606.ENSP00000209884, 9606.ENSP00000306983, 9606.ENSP00000343273, 9606.ENSP00000223215, 9606.ENSP00000348429, 9606.ENSP00000479870, 9606.ENSP00000424765, 9606.ENSP00000314214, 9606.ENSP00000282499, 9606.ENSP00000360293, 9606.ENSP00000368566, 9606.ENSP00000367756, 9606.ENSP00000264424, 9606.ENSP00000262213, 9606.ENSP00000348752, 9606.ENSP00000398930, 9606.ENSP00000308334, 9606.ENSP00000320180, 9606.ENSP00000331682, 9606.ENSP00000349456, 9606.ENSP00000373884, 9606.ENSP00000240662, 9606.ENSP00000387170, 9606.ENSP00000243457, 9606.ENSP00000363124, 9606.ENSP00000417498, 9606.ENSP00000332592, 9606.ENSP00000481554, 9606.ENSP00000345492, 9606.ENSP00000378364, 9606.ENSP00000485659, 9606.ENSP00000265316, 9606.ENSP00000334051, 9606.ENSP00000344173, 9606.ENSP00000355929, 9606.ENSP00000294016, 9606.ENSP00000326581, 9606.ENSP00000363255, 9606.ENSP00000336750, 9606.ENSP00000266070, 9606.ENSP00000375727, 9606.ENSP00000356505, 9606.ENSP00000430620, 9606.ENSP00000352522, 9606.ENSP00000419378, 9606.ENSP00000344989, 9606.ENSP00000424198, 9606.ENSP00000363117, 9606.ENSP00000418081, 9606.ENSP00000433001, 9606.ENSP00000233710, 9606.ENSP00000331698, 9606.ENSP00000304593, 9606.ENSP00000356429, 9606.ENSP00000320866, 9606.ENSP00000223642, 9606.ENSP00000305918, 9606.ENSP00000367220, 9606.ENSP00000376822, 9606.ENSP00000250111, 9606.ENSP00000181383, 9606.ENSP00000309555, 9606.ENSP00000365730, 9606.ENSP00000442837, 9606.ENSP00000319141, 9606.ENSP00000383274, 9606.ENSP00000333982, 9606.ENSP00000263125, 9606.ENSP00000366525, 9606.ENSP00000247843, 9606.ENSP00000356790, 9606.ENSP00000358301, 9606.ENSP00000417901, 9606.ENSP00000233156, 9606.ENSP00000382342, 9606.ENSP00000306497, 9606.ENSP00000300289, 9606.ENSP00000469332, 9606.ENSP00000431254, 9606.ENSP00000345259, 9606.ENSP00000405963
